,Hours,NO1,NO2,NO3,NO4,NO5,NO,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all
7/1/20,01 - 02,4166,4222,3151,2228,1892,15659,Stavanger,58.969976,5.733107,7.32,2.89,5.49,8,1016,93,5.1,190,90
7/1/20,02 - 03,4094,4120,3112,2169,1864,15359,Stavanger,58.969976,5.733107,7.11,2.98,5.49,8,1016,93,4.6,180,90
7/1/20,03 - 04,4069,4083,2908,2174,1871,15104,Stavanger,58.969976,5.733107,7.31,3.93,5.47,8,1015,93,3.6,170,90
7/1/20,04 - 05,4101,4167,2827,2162,1884,15141,Stavanger,58.969976,5.733107,7.32,3.24,5.57,8,1015,93,4.6,170,90
7/1/20,05 - 06,4274,4297,3013,2151,1899,15633,Stavanger,58.969976,5.733107,7.36,3.29,5.85,8,1014,93,4.6,170,90
7/1/20,06 - 07,4865,4686,3201,2338,2083,17174,Stavanger,58.969976,5.733107,7.39,3.56,6.11,8,1014,100,4.6,160,90
7/1/20,07 - 08,5504,5035,3353,2401,2179,18472,Stavanger,58.969976,5.733107,7.37,2.77,5.99,8,1014,100,5.7,170,90
7/1/20,08 - 09,5743,5111,3452,2465,2214,18984,Stavanger,58.969976,5.733107,7.37,2.77,5.99,8,1014,100,5.7,170,90
7/1/20,09 - 10,5692,5022,3454,2458,2230,18856,Stavanger,58.969976,5.733107,7.36,2.75,5.99,8,1014,100,5.7,170,90
7/1/20,10 - 11,5603,5031,3560,2598,2231,19023,Stavanger,58.969976,5.733107,7.36,2.75,5.99,8,1014,100,5.7,170,90
7/1/20,11 - 12,5526,4949,3484,2560,2215,18734,Stavanger,58.969976,5.733107,7.45,2.17,6.17,8,1013,100,6.7,180,90
7/1/20,12 - 13,5513,4898,3485,2472,2213,18581,Stavanger,58.969976,5.733107,7.45,2.17,6.17,8,1013,100,6.7,180,90
7/1/20,13 - 14,5462,5002,3483,2561,2245,18753,Stavanger,58.969976,5.733107,7.42,2.48,6.32,8,1013,100,6.2,180,90
7/1/20,14 - 15,5524,5073,3447,2582,2273,18900,Stavanger,58.969976,5.733107,7.42,2.48,6.32,8,1013,100,6.2,180,90
7/1/20,15 - 16,5638,5129,3493,2618,2291,19167,Stavanger,58.969976,5.733107,7.4,1.17,6.19,8,1012,93,7.7,170,90
7/1/20,16 - 17,5772,5220,3633,2563,2290,19476,Stavanger,58.969976,5.733107,7.4,1.17,6.19,8,1012,93,7.7,170,90
7/1/20,17 - 18,5712,5114,3510,2531,2290,19156,Stavanger,58.969976,5.733107,7.12,0.13,6.1,8,1011,93,8.7,180,90
7/1/20,18 - 19,5564,5035,3522,2533,2245,18899,Stavanger,58.969976,5.733107,6.79,-0.05,5.99,7.35,1010,100,8.7,180,90
7/1/20,19 - 20,5413,4967,3496,2502,2184,18563,Stavanger,58.969976,5.733107,6.79,-0.05,5.99,7.35,1010,100,8.7,180,90
7/1/20,20 - 21,5336,4946,3476,2469,2174,18400,Stavanger,58.969976,5.733107,6.63,-0.47,5.56,7.25,1009,93,8.7,170,75
7/1/20,21 - 22,5123,4858,3389,2429,2138,17937,Stavanger,58.969976,5.733107,6.63,-0.47,5.56,7.25,1009,93,8.7,170,75
7/1/20,22 - 23,4844,4649,3148,2427,2100,17167,Stavanger,58.969976,5.733107,6.33,-0.48,5,7.01,1009,93,8.2,170,75
7/1/20,23 - 00,4495,4442,3103,2303,1977,16321,Stavanger,58.969976,5.733107,6.33,-0.48,5,7.01,1009,93,8.2,170,75
8/1/20,00 - 01,4234,4282,2934,2268,1938,15656,Stavanger,58.969976,5.733107,6.41,-0.92,5,7,1008,87,8.7,180,75
8/1/20,01 - 02,4038,4196,2912,2223,1878,15247,Stavanger,58.969976,5.733107,5.96,-0.57,5,6.81,1007,93,7.7,170,75
8/1/20,02 - 03,3920,4132,2972,2165,1847,15037,Stavanger,58.969976,5.733107,6.32,-0.68,5,7.22,1006,87,8.2,170,75
8/1/20,03 - 04,3897,4139,3003,2213,1848,15100,Stavanger,58.969976,5.733107,6.31,-0.34,5,7.22,1006,87,7.7,170,75
8/1/20,04 - 05,3846,4146,2899,2186,1839,14915,Stavanger,58.969976,5.733107,6.29,-1.06,5,7.22,1006,87,8.7,170,75
